Date,Open,High,Low,Close,Volume,Market Cap
2020-06-26,4.81,4.86,4.66,4.68,366958108.0,1638281862.0
2020-06-25,4.71,4.82,4.55,4.81,417488409.0,1684972181.0
2020-06-24,4.81,4.93,4.55,4.72,477169366.0,1651655918.0
2020-06-23,4.46,4.94,4.41,4.81,524401734.0,1682188036.0
2020-06-22,4.19,4.47,4.19,4.47,354320997.0,1563776985.0
2020-06-21,4.17,4.21,4.15,4.19,260111856.0,1466202331.0
2020-06-20,4.08,4.21,4.05,4.17,300428191.0,1459769388.0
2020-06-19,4.17,4.19,4.05,4.08,285917523.0,1427986674.0
2020-06-18,4.16,4.23,4.12,4.17,299551097.0,1459143130.0
2020-06-17,4.05,4.17,4.0,4.16,319675762.0,1457284290.0
2020-06-16,3.93,4.08,3.9,4.05,300222404.0,1417049911.0
2020-06-15,3.96,3.99,3.68,3.93,368088618.0,1376866033.0
2020-06-14,4.11,4.12,3.96,3.96,259255316.0,1384254618.0
2020-06-13,4.09,4.12,4.02,4.11,268974930.0,1440128454.0
2020-06-12,3.98,4.18,3.89,4.09,327861604.0,1431829668.0
2020-06-11,4.42,4.46,3.94,3.97,352495642.0,1389924052.0
2020-06-10,4.45,4.45,4.34,4.42,294672252.0,1547105469.0
2020-06-09,4.46,4.48,4.39,4.45,305409412.0,1557552084.0
2020-06-08,4.35,4.46,4.33,4.46,283855463.0,1560240660.0
2020-06-07,4.34,4.4,4.24,4.35,282338155.0,1522476591.0
2020-06-06,4.38,4.41,4.33,4.34,270796645.0,1519918210.0
2020-06-05,4.43,4.49,4.36,4.38,298753116.0,1532103068.0
2020-06-04,4.49,4.51,4.32,4.43,318417019.0,1551556871.0
2020-06-03,4.39,4.54,4.32,4.49,347465695.0,1571755300.0
2020-06-02,4.38,4.61,4.22,4.39,447755930.0,1535391839.0
2020-06-01,4.13,4.47,4.12,4.38,491355312.0,1533224811.0
2020-05-31,4.17,4.26,4.06,4.13,378972618.0,1445478259.0
2020-05-30,3.99,4.17,3.95,4.17,356995900.0,1458957296.0
2020-05-29,4.03,4.11,3.96,3.99,328730888.0,1395307992.0
2020-05-28,3.86,4.04,3.84,4.03,317138604.0,1408872696.0
2020-05-27,3.84,3.92,3.82,3.86,303730714.0,1350195985.0
2020-05-26,3.87,3.88,3.79,3.84,294932100.0,1342697098.0
2020-05-25,3.83,3.9,3.8,3.87,319542427.0,1354476676.0
2020-05-24,3.95,4.02,3.84,3.84,338608148.0,1342712782.0
2020-05-23,4.07,4.1,3.93,3.96,350387118.0,1384271247.0
2020-05-22,3.85,4.12,3.81,4.07,391293983.0,1424598820.0
2020-05-21,4.07,4.15,3.77,3.85,475890242.0,1346712935.0
2020-05-20,3.92,4.12,3.92,4.07,501477865.0,1424867262.0
2020-05-19,3.88,3.92,3.79,3.92,342003354.0,1372866757.0
2020-05-18,3.78,3.94,3.78,3.89,384696302.0,1359871089.0
2020-05-17,3.76,3.84,3.76,3.78,324792191.0,1324515312.0
2020-05-16,3.67,3.78,3.63,3.76,298753874.0,1316033130.0
2020-05-15,3.8,3.84,3.65,3.67,326992724.0,1286128594.0
2020-05-14,3.76,3.85,3.7,3.8,376043732.0,1329785466.0
2020-05-13,3.69,3.8,3.67,3.76,319801650.0,1316148495.0
2020-05-12,3.59,3.79,3.56,3.69,358470475.0,1292330729.0
2020-05-11,3.76,3.82,3.41,3.59,465004956.0,1254772804.0
2020-05-10,4.04,4.04,3.6,3.76,614483574.0,1316463851.0
2020-05-09,3.82,4.18,3.8,4.04,596770802.0,1414112226.0
2020-05-08,3.76,3.86,3.71,3.82,394360542.0,1337738020.0
2020-05-07,3.64,3.83,3.58,3.75,415098619.0,1313906217.0
2020-05-06,3.68,3.77,3.63,3.64,330568230.0,1272760212.0
2020-05-05,3.77,3.8,3.68,3.69,307442156.0,1290692525.0
2020-05-04,3.72,3.83,3.54,3.77,400808105.0,1318765143.0
2020-05-03,3.82,3.87,3.67,3.72,332486849.0,1302759278.0
2020-05-02,3.78,3.87,3.77,3.82,312851882.0,1337763940.0
2020-05-01,3.72,3.91,3.72,3.78,387173588.0,1324114575.0
2020-04-30,3.91,3.96,3.68,3.72,469432714.0,1302166857.0
2020-04-29,3.68,3.96,3.65,3.91,479767865.0,1367124006.0
2020-04-28,3.64,3.74,3.6,3.68,336584772.0,1286363619.0
2020-04-27,3.72,3.74,3.5,3.64,418502740.0,1274664482.0
2020-04-26,3.8,3.83,3.7,3.72,373262888.0,1300872243.0
2020-04-25,3.8,3.89,3.78,3.8,326366096.0,1331080897.0
2020-04-24,3.74,3.89,3.73,3.8,356971612.0,1331678326.0
2020-04-23,3.68,3.82,3.63,3.73,458394827.0,1303753636.0
2020-04-22,3.47,3.7,3.46,3.68,419768838.0,1287585113.0
2020-04-21,3.45,3.58,3.43,3.48,386134896.0,1216697578.0
2020-04-20,3.64,3.78,3.43,3.46,511701400.0,1210414587.0
2020-04-19,3.78,3.81,3.59,3.64,497819796.0,1273148903.0
2020-04-18,3.48,3.8,3.48,3.78,517130842.0,1324210521.0
2020-04-17,3.47,3.53,3.41,3.48,431088440.0,1216966013.0
2020-04-16,3.13,3.52,3.02,3.47,599436392.0,1214026692.0
2020-04-15,3.24,3.31,3.13,3.13,425648503.0,1095155423.0
2020-04-14,3.37,3.44,3.23,3.24,497025727.0,1132912028.0
2020-04-13,3.47,3.47,3.31,3.37,663413131.0,1179431615.0
2020-04-12,3.29,3.59,3.19,3.46,712633668.0,1211914055.0
2020-04-11,3.22,3.42,3.09,3.28,653196770.0,1148809627.0
2020-04-10,3.32,3.33,2.97,3.22,748426338.0,1125984900.0
2020-04-09,3.14,3.45,3.13,3.32,734770971.0,1162592770.0
2020-04-08,2.72,3.24,2.71,3.14,518682498.0,1098664301.0
2020-04-07,2.52,2.87,2.52,2.72,577910419.0,951294862.0
2020-04-06,2.28,2.52,2.28,2.51,325590660.0,879695007.0
2020-04-05,2.33,2.33,2.26,2.28,161676431.0,797063757.0
2020-04-04,2.31,2.33,2.27,2.33,194260780.0,814174591.0
2020-04-03,2.3,2.38,2.29,2.31,226925452.0,806773419.0
2020-04-02,2.27,2.39,2.27,2.3,294353542.0,805598218.0
2020-04-01,2.27,2.3,2.16,2.28,289006168.0,797390894.0
2020-03-31,2.15,2.28,2.12,2.27,239526252.0,794620235.0
2020-03-30,2.02,2.18,2.02,2.15,220332929.0,753662033.0
2020-03-29,2.14,2.15,2.02,2.03,178728617.0,708808881.0
2020-03-28,2.18,2.18,2.07,2.14,234279603.0,747848872.0
2020-03-27,2.3,2.34,2.17,2.17,222982485.0,761239725.0
2020-03-26,2.26,2.3,2.23,2.3,209695287.0,803298187.0
2020-03-25,2.31,2.33,2.22,2.26,257497959.0,790886272.0
2020-03-24,2.23,2.36,2.2,2.31,321474267.0,807763832.0
2020-03-23,1.99,2.24,1.95,2.24,354551260.0,783227446.0
2020-03-22,2.27,2.31,1.96,1.99,295425228.0,696102884.0
2020-03-21,2.25,2.33,2.13,2.27,317973845.0,795065384.0
2020-03-20,2.25,2.6,2.09,2.25,526429075.0,786765060.0
2020-03-19,1.89,2.34,1.88,2.25,447725949.0,786333202.0
2020-03-18,1.84,1.91,1.78,1.89,304298998.0,660695085.0
2020-03-17,1.78,2.05,1.76,1.84,402042487.0,644981750.0
2020-03-16,2.11,2.11,1.6,1.78,539952973.0,622956956.0
2020-03-15,2.14,2.36,2.05,2.11,440244557.0,738223861.0
2020-03-14,2.43,2.5,2.1,2.14,448070726.0,750231169.0
2020-03-13,2.06,2.71,1.51,2.42,905688605.0,847397090.0
2020-03-12,3.82,3.83,1.97,2.06,678674595.0,722672644.0
2020-03-11,4.09,4.11,3.6,3.82,464691611.0,1336130849.0
2020-03-10,4.09,4.2,3.95,4.08,531064759.0,1429726104.0
2020-03-09,4.08,4.34,3.68,4.06,751627574.0,1422370360.0
2020-03-08,4.35,4.43,3.9,4.09,554855517.0,1431384728.0
2020-03-07,4.68,4.68,4.34,4.34,375742253.0,1520607569.0
2020-03-06,4.72,4.75,4.57,4.68,384700765.0,1637474153.0
2020-03-05,4.64,4.89,4.64,4.72,542142056.0,1652439037.0
2020-03-04,4.58,4.95,4.56,4.64,662474676.0,1625704996.0
2020-03-03,4.21,4.66,4.15,4.58,518469329.0,1604271179.0
2020-03-02,3.88,4.31,3.83,4.22,437170132.0,1475252493.0
2020-03-01,4.11,4.2,3.79,3.88,423505999.0,1357836407.0
2020-02-29,4.16,4.35,4.11,4.11,452201071.0,1437989316.0
2020-02-28,3.95,4.2,3.79,4.16,506674282.0,1456668505.0
2020-02-27,3.6,4.11,3.46,3.95,492056386.0,1382008329.0
2020-02-26,3.51,3.83,3.34,3.6,505501668.0,1260253650.0
2020-02-25,3.91,3.95,3.51,3.51,340819809.0,1229586427.0
2020-02-24,4.24,4.27,3.82,3.91,343314668.0,1369785416.0
2020-02-23,4.11,4.36,4.09,4.24,299278626.0,1485218289.0
2020-02-22,4.29,4.34,4.07,4.1,303556869.0,1436028024.0
2020-02-21,4.27,4.48,4.21,4.29,339638604.0,1502220389.0
2020-02-20,4.4,4.47,4.13,4.27,404800386.0,1494979037.0
2020-02-19,4.55,4.82,4.36,4.4,415141905.0,1540464065.0
2020-02-18,4.3,4.59,4.16,4.54,431990469.0,1590328792.0
2020-02-17,4.49,4.55,3.88,4.3,529297131.0,1503953031.0
2020-02-16,4.31,4.83,4.15,4.5,640799699.0,1576459992.0
2020-02-15,4.41,4.61,4.11,4.3,498446606.0,1506631238.0
2020-02-14,3.88,4.47,3.81,4.41,416798319.0,1545030652.0
2020-02-13,4.02,4.09,3.77,3.87,336049071.0,1356052109.0
2020-02-12,3.98,4.19,3.87,4.03,455111359.0,1408791688.0
2020-02-11,3.41,3.98,3.36,3.98,388126746.0,1391445535.0
2020-02-10,3.48,3.48,3.29,3.41,232733529.0,1194019464.0
2020-02-09,3.41,3.48,3.27,3.48,227524199.0,1217059506.0
2020-02-08,3.3,3.45,3.15,3.41,305697106.0,1195060080.0
2020-02-07,2.88,3.35,2.88,3.31,380527539.0,1157986128.0
2020-02-06,2.85,2.93,2.81,2.88,165611492.0,1009638663.0
2020-02-05,2.74,2.87,2.73,2.85,157306879.0,995970095.0
2020-02-04,2.77,2.8,2.69,2.74,134721884.0,959392205.0
2020-02-03,2.83,2.86,2.76,2.77,128902317.0,971130674.0
2020-02-02,2.84,2.89,2.74,2.83,135278751.0,991403500.0
2020-02-01,2.82,2.87,2.76,2.84,121185567.0,993633620.0
2020-01-31,2.92,2.92,2.78,2.82,132881059.0,988326980.0
2020-01-30,2.78,2.94,2.72,2.91,189044589.0,1019545843.0
2020-01-29,2.66,2.81,2.65,2.79,166469457.0,974863479.0
2020-01-28,2.61,2.67,2.6,2.66,130829516.0,929368527.0
2020-01-27,2.57,2.68,2.57,2.61,125100879.0,913378198.0
2020-01-26,2.46,2.57,2.44,2.57,101906615.0,900053582.0
2020-01-25,2.5,2.51,2.43,2.46,96793337.0,859784045.0
2020-01-24,2.47,2.53,2.37,2.5,121390827.0,876536363.0
2020-01-23,2.65,2.65,2.44,2.46,128284126.0,861738068.0
2020-01-22,2.68,2.69,2.63,2.65,97214236.0,925953608.0
2020-01-21,2.7,2.74,2.58,2.67,118493954.0,935742614.0
2020-01-20,2.62,2.74,2.55,2.7,149645626.0,944054524.0
2020-01-19,2.78,2.84,2.56,2.62,175287789.0,916632784.0
2020-01-18,2.72,2.79,2.6,2.77,167529444.0,970936771.0
2020-01-17,2.48,2.84,2.47,2.72,257924221.0,953438176.0
2020-01-16,2.41,2.5,2.3,2.48,143515776.0,869567505.0
2020-01-15,2.38,2.57,2.36,2.4,149371800.0,841742041.0
2020-01-14,2.19,2.45,2.18,2.39,135612258.0,836474276.0
2020-01-13,2.24,2.24,2.16,2.19,78803227.0,767358644.0
2020-01-12,2.28,2.31,2.23,2.25,87342008.0,785817532.0
2020-01-11,2.22,2.33,2.22,2.28,107902217.0,799136443.0
2020-01-10,2.19,2.26,2.16,2.22,109888554.0,778385770.0
2020-01-09,2.18,2.23,2.11,2.19,109938413.0,765117095.0
2020-01-08,2.11,2.33,2.11,2.18,192821111.0,764262022.0
2020-01-07,1.93,2.13,1.91,2.11,140921324.0,739934210.0
2020-01-06,1.81,1.94,1.81,1.94,80941179.0,678112936.0
2020-01-05,1.84,1.86,1.8,1.81,55235942.0,632725379.0
2020-01-04,1.81,1.85,1.79,1.84,49108150.0,644046686.0
2020-01-03,1.74,1.83,1.71,1.81,61298048.0,633397911.0
2020-01-02,1.81,1.82,1.72,1.74,52729126.0,609400278.0
2020-01-01,1.77,1.85,1.76,1.81,69723037.0,632324086.0
2019-12-31,1.84,1.84,1.76,1.77,58903187.0,619314954.0
2019-12-30,1.9,1.91,1.83,1.84,57136151.0,643640851.0
2019-12-29,1.87,1.92,1.86,1.9,53574998.0,665841559.0
2019-12-28,1.89,1.91,1.87,1.87,53567273.0,656018147.0
2019-12-27,1.86,1.95,1.85,1.89,74031488.0,660276978.0
2019-12-26,1.81,1.94,1.79,1.86,79180350.0,651630010.0
2019-12-25,1.86,1.86,1.79,1.8,86020952.0,631665436.0
2019-12-24,1.88,1.89,1.84,1.86,131772813.0,652092016.0
2019-12-23,1.94,1.96,1.86,1.88,130569408.0,656897477.0
2019-12-22,1.87,1.95,1.87,1.94,120076955.0,677398756.0
2019-12-21,1.92,1.93,1.87,1.87,88336767.0,655789073.0
2019-12-20,1.82,1.92,1.8,1.92,124354682.0,673201642.0
2019-12-19,1.88,1.89,1.75,1.82,150914459.0,637172404.0
2019-12-18,1.76,1.88,1.66,1.88,209932252.0,658252398.0
2019-12-17,1.98,2.01,1.72,1.76,172213180.0,614723071.0
2019-12-16,2.09,2.09,1.98,1.98,97454140.0,693554053.0
2019-12-15,2.01,2.12,1.98,2.09,114518248.0,730394059.0
2019-12-14,2.08,2.09,1.99,2.01,105295566.0,703740129.0
2019-12-13,2.12,2.13,2.07,2.08,117843001.0,727058616.0
2019-12-12,2.18,2.2,2.05,2.12,142758973.0,741674953.0
2019-12-11,2.27,2.3,2.15,2.18,138162558.0,762317077.0
2019-12-10,2.09,2.28,2.07,2.27,218763851.0,794729934.0
2019-12-09,2.06,2.09,2.02,2.09,147696805.0,731861045.0
2019-12-08,2.06,2.09,2.03,2.06,103114465.0,720652032.0
2019-12-07,2.09,2.11,2.05,2.06,88418201.0,721417209.0
2019-12-06,2.03,2.1,1.99,2.09,113399318.0,732354664.0
2019-12-05,2.05,2.11,1.97,2.03,126219927.0,709032623.0
2019-12-04,2.13,2.14,2.02,2.05,145162286.0,717028178.0
2019-12-03,2.09,2.2,2.05,2.13,109854018.0,745494808.0
2019-12-02,2.17,2.18,2.07,2.09,116492201.0,733241502.0
2019-12-01,2.24,2.24,2.14,2.17,136819693.0,758496044.0
2019-11-30,2.34,2.36,2.22,2.24,123021580.0,784726634.0
2019-11-29,2.28,2.36,2.27,2.34,160656952.0,819917110.0
2019-11-28,2.23,2.33,2.19,2.27,146006115.0,795173797.0
2019-11-27,2.26,2.29,2.14,2.23,149542925.0,780208040.0
2019-11-26,2.27,2.36,2.18,2.28,143568310.0,796749927.0
2019-11-25,2.26,2.38,2.06,2.28,170091780.0,796272797.0
2019-11-24,2.45,2.47,2.25,2.26,149929050.0,789526615.0
2019-11-23,2.35,2.46,2.27,2.45,149356394.0,856598472.0
2019-11-22,2.55,2.59,2.17,2.35,201718065.0,823152707.0
